shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
AOUT1812E,45.559646,-73.68216,100000
AOUT1812E,45.559646,-73.68216,200000
AOUT1812E,45.559769,-73.68193,300000
AOUT1812E,45.559823,-73.6819,400000
AOUT1812E,45.559877,-73.68191,500000
AOUT1812E,45.559922,-73.68197,600000
AOUT1812E,45.559949,-73.68203,700000
AOUT1812E,45.559949,-73.68212,800000
AOUT1812E,45.559407,-73.68318,900000
AOUT1812E,45.559317,-73.68335,1000000
AOUT1812E,45.559204,-73.68353,1100000
AOUT1812E,45.559191,-73.68355,1200000
AOUT1812E,45.559711,-73.68414,1300000
AOUT1812E,45.559795,-73.68398,1400000
AOUT1812E,45.559865,-73.68384,1500000
AOUT1812E,45.560063,-73.68349,1600000
AOUT1812E,45.560289,-73.68302,1700000
AOUT1812E,45.560425,-73.68274,1800000
AOUT1812E,45.560596,-73.68242,1900000
AOUT1812E,45.56084,-73.68202,2000000
AOUT1812E,45.56093,-73.68183,2100000
AOUT1812E,45.560993,-73.68171,2200000
AOUT1812E,45.561065,-73.68159,2300000
AOUT1812E,45.561129,-73.68146,2400000
AOUT1812E,45.561354,-73.681,2500000
AOUT1812E,45.561505,-73.68071,2600000
AOUT1812E,45.561589,-73.68055,2700000
AOUT1812E,45.561147,-73.68002,2800000
AOUT1812E,45.560942,-73.67978,2900000
AOUT1812E,45.560628,-73.67941,3000000
AOUT1812E,45.560475,-73.67924,3100000
AOUT1812E,45.560403,-73.67916,3200000
AOUT1812E,45.560242,-73.67898,3300000
AOUT1812E,45.56017,-73.67892,3400000
AOUT1812E,45.56008,-73.67884,3500000
AOUT1812E,45.559882,-73.67869,3600000
AOUT1812E,45.559693,-73.67856,3700000
AOUT1812E,45.559496,-73.67842,3800000
AOUT1812E,45.559478,-73.6784,3900000
AOUT1812E,45.559433,-73.67838,4000000
AOUT1812E,45.55919,-73.67824,4100000
AOUT1812E,45.558929,-73.67807,4200000
AOUT1812E,45.55866,-73.67789,4300000
AOUT1812E,45.558516,-73.67773,4400000
AOUT1812E,45.558426,-73.67763,4500000
AOUT1812E,45.558291,-73.6775,4600000
AOUT1812E,45.558271,-73.67746,4700000
AOUT1812E,45.55822,-73.67735,4800000
AOUT1812E,45.558274,-73.6773,4900000
AOUT1812E,45.558409,-73.67721,5000000
AOUT1812E,45.558652,-73.67702,5100000
AOUT1812E,45.558976,-73.67681,5200000
AOUT1812E,45.559111,-73.67671,5300000
AOUT1812E,45.559255,-73.6766,5400000
AOUT1812E,45.559544,-73.67639,5500000
AOUT1812E,45.55985,-73.67619,5600000
AOUT1812E,45.560174,-73.67593,5700000
AOUT1812E,45.560183,-73.67592,5800000
AOUT1812E,45.560508,-73.67564,5900000
AOUT1812E,45.560832,-73.67532,6000000
AOUT1812E,45.561148,-73.675,6100000
AOUT1812E,45.56149,-73.67464,6200000
AOUT1812E,45.561869,-73.67426,6300000
AOUT1812E,45.56222,-73.67389,6400000
AOUT1812E,45.562572,-73.67353,6500000
AOUT1812E,45.562896,-73.67318,6600000
AOUT1812E,45.563193,-73.67287,6700000
AOUT1812E,45.563437,-73.67266,6800000
AOUT1812E,45.563707,-73.67249,6900000
AOUT1812E,45.564004,-73.67232,7000000
AOUT1812E,45.564346,-73.67213,7100000
AOUT1812E,45.564644,-73.67199,7200000
AOUT1812E,45.564887,-73.67187,7300000
AOUT1812E,45.564968,-73.67186,7400000
AOUT1812E,45.564995,-73.67184,7500000
AOUT1812E,45.56513,-73.67173,7600000
AOUT1812E,45.565223,-73.6717,7700000
AOUT1812E,45.565238,-73.6717,7800000
AOUT1812E,45.565274,-73.67172,7900000
AOUT1812E,45.565301,-73.67179,8000000
AOUT1812E,45.565292,-73.67189,8100000
AOUT1812E,45.565292,-73.6719,8200000
AOUT1812E,45.565255,-73.67195,8300000
AOUT1812E,45.565183,-73.67194,8400000
AOUT1812E,45.56516,-73.67193,8500000
AOUT1812E,45.56516,-73.67193,8600000
AOUT1812O,45.565157,-73.67192,100000
AOUT1812O,45.565157,-73.67192,200000
AOUT1812O,45.565094,-73.67189,300000
AOUT1812O,45.565004,-73.67188,400000
AOUT1812O,45.564968,-73.67186,500000
AOUT1812O,45.564887,-73.67187,600000
AOUT1812O,45.564644,-73.67199,700000
AOUT1812O,45.564346,-73.67213,800000
AOUT1812O,45.564004,-73.67232,900000
AOUT1812O,45.56397,-73.67234,1000000
AOUT1812O,45.563707,-73.67249,1100000
AOUT1812O,45.563437,-73.67266,1200000
AOUT1812O,45.563193,-73.67287,1300000
AOUT1812O,45.562957,-73.67311,1400000
AOUT1812O,45.562896,-73.67318,1500000
AOUT1812O,45.562572,-73.67353,1600000
AOUT1812O,45.56222,-73.67389,1700000
AOUT1812O,45.562123,-73.67399,1800000
AOUT1812O,45.561869,-73.67426,1900000
AOUT1812O,45.56149,-73.67464,2000000
AOUT1812O,45.5613,-73.67484,2100000
AOUT1812O,45.561148,-73.675,2200000
AOUT1812O,45.560832,-73.67532,2300000
AOUT1812O,45.560508,-73.67564,2400000
AOUT1812O,45.560183,-73.67592,2500000
AOUT1812O,45.55985,-73.67619,2600000
AOUT1812O,45.559793,-73.67623,2700000
AOUT1812O,45.559544,-73.67639,2800000
AOUT1812O,45.559255,-73.6766,2900000
AOUT1812O,45.559111,-73.67671,3000000
AOUT1812O,45.558976,-73.67681,3100000
AOUT1812O,45.558652,-73.67702,3200000
AOUT1812O,45.558551,-73.6771,3300000
AOUT1812O,45.558409,-73.67721,3400000
AOUT1812O,45.558351,-73.67725,3500000
AOUT1812O,45.558274,-73.6773,3600000
AOUT1812O,45.55822,-73.67735,3700000
AOUT1812O,45.558291,-73.6775,3800000
AOUT1812O,45.558426,-73.67763,3900000
AOUT1812O,45.558516,-73.67773,4000000
AOUT1812O,45.55866,-73.67789,4100000
AOUT1812O,45.558929,-73.67807,4200000
AOUT1812O,45.55919,-73.67824,4300000
AOUT1812O,45.559361,-73.67834,4400000
AOUT1812O,45.559433,-73.67838,4500000
AOUT1812O,45.559478,-73.6784,4600000
AOUT1812O,45.559693,-73.67856,4700000
AOUT1812O,45.559822,-73.67865,4800000
AOUT1812O,45.559882,-73.67869,4900000
AOUT1812O,45.56008,-73.67884,5000000
AOUT1812O,45.56017,-73.67892,5100000
AOUT1812O,45.560242,-73.67898,5200000
AOUT1812O,45.560403,-73.67916,5300000
AOUT1812O,45.560475,-73.67924,5400000
AOUT1812O,45.560628,-73.67941,5500000
AOUT1812O,45.560912,-73.67974,5600000
AOUT1812O,45.560942,-73.67978,5700000
AOUT1812O,45.561589,-73.68055,5800000
AOUT1812O,45.561643,-73.6806,5900000
AOUT1812O,45.561706,-73.68067,6000000
AOUT1812O,45.561579,-73.68088,6100000
AOUT1812O,45.561444,-73.6811,6200000
AOUT1812O,45.561146,-73.6817,6300000
AOUT1812O,45.561083,-73.68184,6400000
AOUT1812O,45.560785,-73.68239,6500000
AOUT1812O,45.560541,-73.68284,6600000
AOUT1812O,45.560406,-73.68312,6700000
AOUT1812O,45.560336,-73.68306,6800000
AOUT1812O,45.560289,-73.68302,6900000
AOUT1812O,45.560208,-73.68294,7000000
AOUT1812O,45.560154,-73.68288,7100000
AOUT1812O,45.55992,-73.68332,7200000
AOUT1812O,45.559793,-73.68355,7300000
AOUT1812O,45.559775,-73.68358,7400000
AOUT1812O,45.559721,-73.68357,7500000
AOUT1812O,45.55965,-73.68352,7600000
AOUT1812O,45.559612,-73.68346,7700000
AOUT1812O,45.559596,-73.68344,7800000
AOUT1812O,45.559596,-73.68337,7900000
AOUT1812O,45.559832,-73.68292,8000000
AOUT1812O,45.560019,-73.68256,8100000
AOUT18144E,45.532366,-73.82355,100000
AOUT18144E,45.532317,-73.82349,200000
AOUT18144E,45.530967,-73.82209,300000
AOUT18144E,45.530908,-73.82203,400000
AOUT18144E,45.530899,-73.82201,500000
AOUT18144E,45.530621,-73.8217,600000
AOUT18144E,45.53037,-73.82145,700000
AOUT18144E,45.530056,-73.82114,800000
AOUT18144E,45.529849,-73.82102,900000
AOUT18144E,45.529248,-73.82056,1000000
AOUT18144E,45.529121,-73.82094,1100000
AOUT18144E,45.52906,-73.82113,1200000
AOUT18144E,45.528975,-73.8214,1300000
AOUT18144E,45.528921,-73.82157,1400000
AOUT18144E,45.528526,-73.82121,1500000
AOUT18144E,45.528221,-73.82092,1600000
AOUT18144E,45.528069,-73.82077,1700000
AOUT18144E,45.527772,-73.82047,1800000
AOUT18144E,45.527386,-73.82007,1900000
AOUT18144E,45.527152,-73.81984,2000000
AOUT18144E,45.526673,-73.81936,2100000
AOUT18144E,45.526624,-73.81931,2200000
AOUT18144E,45.526274,-73.81897,2300000
AOUT18144E,45.526103,-73.81879,2400000
AOUT18144E,45.525529,-73.81821,2500000
AOUT18144E,45.524464,-73.81709,2600000
AOUT18144E,45.524353,-73.81697,2700000
AOUT18144E,45.524282,-73.81689,2800000
AOUT18144E,45.524237,-73.81685,2900000
AOUT18144E,45.523627,-73.81625,3000000
AOUT18144E,45.522612,-73.81525,3100000
AOUT18144E,45.52255,-73.81519,3200000
AOUT18144E,45.522523,-73.81517,3300000
AOUT18144E,45.522514,-73.81515,3400000
AOUT18144E,45.521841,-73.81447,3500000
AOUT18144E,45.520917,-73.81353,3600000
AOUT18144E,45.520908,-73.81352,3700000
AOUT18144E,45.52066,-73.81329,3800000
AOUT18144E,45.52066,-73.81329,3900000
AOUT18144E,45.52062,-73.81325,4000000
AOUT18144E,45.520567,-73.81321,4100000
AOUT18144E,45.520414,-73.81316,4200000
AOUT18144E,45.520414,-73.81308,4300000
AOUT18144E,45.520397,-73.81262,4400000
AOUT18144E,45.520381,-73.81211,4500000
AOUT18144E,45.520356,-73.81137,4600000
AOUT18144E,45.520336,-73.81105,4700000
AOUT18144E,45.520295,-73.81037,4800000
AOUT18144E,45.520251,-73.81007,4900000
AOUT18144E,45.520234,-73.80982,5000000
AOUT18144E,45.520082,-73.80923,5100000
AOUT18144E,45.520083,-73.8092,5200000
AOUT18144E,45.520003,-73.80877,5300000
AOUT18144E,45.519843,-73.80811,5400000
AOUT18144E,45.519613,-73.80733,5500000
AOUT18144E,45.519593,-73.80727,5600000
AOUT18144E,45.519557,-73.80716,5700000
AOUT18144E,45.519513,-73.807,5800000
AOUT18144E,45.519423,-73.80678,5900000
AOUT18144E,45.519361,-73.80656,6000000
AOUT18144E,45.519245,-73.80609,6100000
AOUT18144E,45.519192,-73.80575,6200000
AOUT18144E,45.519103,-73.80522,6300000
AOUT18144E,45.519059,-73.80493,6400000
AOUT18144E,45.518998,-73.80443,6500000
AOUT18144E,45.518907,-73.80353,6600000
AOUT18144E,45.518901,-73.80347,6700000
AOUT18144E,45.518892,-73.80335,6800000
AOUT18144E,45.518858,-73.80274,6900000
AOUT18144E,45.518841,-73.80253,7000000
AOUT18144E,45.518814,-73.80233,7100000
AOUT18144E,45.51877,-73.80183,7200000
AOUT18144E,45.518753,-73.80167,7300000
AOUT18144E,45.518735,-73.80149,7400000
AOUT18144E,45.518701,-73.80107,7500000
AOUT18144E,45.518697,-73.80091,7600000
AOUT18144E,45.518692,-73.80075,7700000
AOUT18144E,45.518693,-73.80039,7800000
AOUT18144E,45.518685,-73.80009,7900000
AOUT18144E,45.518686,-73.79982,8000000
AOUT18144E,45.518651,-73.79956,8100000
AOUT18144E,45.518606,-73.79924,8200000
AOUT18144E,45.518527,-73.79865,8300000
AOUT18144E,45.518495,-73.79838,8400000
AOUT18144E,45.518474,-73.7982,8500000
AOUT18144E,45.518439,-73.79797,8600000
AOUT18144E,45.518386,-73.79765,8700000
AOUT18144E,45.518332,-73.79731,8800000
AOUT18144E,45.518217,-73.79679,8900000
AOUT18144E,45.518128,-73.79637,9000000
AOUT18144E,45.517977,-73.79576,9100000
AOUT18144E,45.517896,-73.79546,9200000
AOUT18144E,45.517834,-73.79503,9300000
AOUT18144E,45.5178,-73.79457,9400000
AOUT18144E,45.517778,-73.79432,9500000
AOUT18144E,45.517765,-73.79416,9600000
AOUT18144E,45.517784,-73.79375,9700000
AOUT18144E,45.517812,-73.79338,9800000
AOUT18144E,45.51784,-73.79288,9900000
AOUT18144E,45.517877,-73.79245,10000000
AOUT18144E,45.517896,-73.79192,10100000
AOUT18144E,45.517908,-73.7917,10200000
AOUT18144E,45.517915,-73.79156,10300000
AOUT18144E,45.517952,-73.79133,10400000
AOUT18144E,45.51797,-73.7911,10500000
AOUT18144E,45.518044,-73.79064,10600000
AOUT18144E,45.518126,-73.7902,10700000
AOUT18144E,45.51819,-73.78986,10800000
AOUT18144E,45.518244,-73.78954,10900000
AOUT18144E,45.518272,-73.78938,11000000
AOUT18144E,45.518372,-73.78892,11100000
AOUT18144E,45.518427,-73.78862,11200000
